"419";"60";"1";"6";"60";"Y"
"421";"61";"1";"1";"10";"Y"
"422";"61";"1";"2";"20";"Y"
"423";"61";"1";"3";"30";"Y"
"424";"61";"1";"4";"40";"Y"
"425";"61";"1";"5";"50";"Y"
"426";"61";"1";"6";"60";"Y"
"428";"62";"1";"1";"10";"Y"
"429";"62";"1";"2";"20";"Y"
"430";"62";"1";"3";"30";"Y"
"431";"62";"1";"4";"40";"Y"
"432";"62";"1";"5";"50";"Y"
"433";"62";"1";"6";"60";"Y"
"435";"63";"1";"1";"10";"Y"
"436";"63";"1";"2";"20";"Y"
"437";"63";"1";"3";"30";"Y"
"438";"63";"1";"4";"40";"Y"
"439";"63";"1";"5";"50";"Y"
"440";"63";"1";"6";"60";"Y"
"442";"64";"1";"1";"10";"Y"
"443";"64";"1";"2";"20";"Y"
"444";"64";"1";"3";"30";"Y"
"445";"64";"1";"4";"40";"Y"
"446";"64";"1";"5";"50";"Y"
"447";"64";"1";"6";"60";"Y"
"449";"65";"1";"1";"10";"Y"
"450";"65";"1";"2";"20";"Y"
"451";"65";"1";"3";"30";"Y"
"452";"65";"1";"4";"40";"Y"
"453";"65";"1";"5";"50";"Y"
"454";"65";"1";"6";"60";"Y"
"456";"66";"1";"1";"10";"Y"
"457";"66";"1";"2";"20";"Y"
"458";"66";"1";"3";"30";"Y"
"459";"66";"1";"4";"40";"Y"
"460";"66";"1";"5";"50";"Y"
"461";"66";"1";"6";"60";"Y"
"463";"67";"1";"1";"10";"Y"
"464";"67";"1";"2";"20";"Y"
"465";"67";"1";"3";"30";"Y"
"466";"67";"1";"4";"40";"Y"
"467";"67";"1";"5";"50";"Y"
"468";"67";"1";"6";"60";"Y"
"470";"68";"1";"1";"10";"Y"
"471";"68";"1";"2";"20";"Y"
"472";"68";"1";"3";"30";"Y"
"473";"68";"1";"4";"40";"Y"
"474";"68";"1";"5";"50";"Y"
"475";"68";"1";"6";"60";"Y"
"477";"69";"1";"1";"10";"Y"
"478";"69";"1";"2";"20";"Y"
"479";"69";"1";"3";"30";"Y"
"480";"69";"1";"4";"40";"Y"
"481";"69";"1";"5";"50";"Y"
"482";"69";"1";"6";"60";"Y"
"484";"70";"1";"1";"10";"Y"
"485";"70";"1";"2";"20";"Y"
"486";"70";"1";"3";"30";"Y"
"487";"70";"1";"4";"40";"Y"
"488";"70";"1";"5";"50";"Y"
"489";"70";"1";"6";"60";"Y"
"491";"71";"1";"1";"10";"Y"
"492";"71";"1";"2";"20";"Y"
"493";"71";"1";"3";"30";"Y"
"494";"71";"1";"4";"40";"Y"
"495";"71";"1";"5";"50";"Y"
"496";"71";"1";"6";"60";"Y"
"498";"72";"1";"1";"10";"Y"
"499";"72";"1";"2";"20";"Y"
"500";"72";"1";"3";"30";"Y"
"501";"72";"1";"4";"40";"Y"
"502";"72";"1";"5";"50";"Y"
"503";"72";"1";"6";"60";"Y"
"505";"73";"1";"1";"10";"Y"
"506";"73";"1";"2";"20";"Y"
"507";"73";"1";"3";"30";"Y"
"508";"73";"1";"4";"40";"Y"
"509";"73";"1";"5";"50";"Y"
"510";"73";"1";"6";"60";"Y"
"512";"74";"1";"1";"10";"Y"
"513";"74";"1";"2";"20";"Y"
"514";"74";"1";"3";"30";"Y"
"515";"74";"1";"4";"40";"Y"
"516";"74";"1";"5";"50";"Y"
"517";"74";"1";"6";"60";"Y"
"519";"75";"1";"1";"10";"Y"
"520";"75";"1";"2";"20";"Y"
"521";"75";"1";"3";"30";"Y"
"522";"75";"1";"4";"40";"Y"
"523";"75";"1";"5";"50";"Y"
"524";"75";"1";"6";"60";"Y"
"526";"76";"1";"1";"10";"Y"
"527";"76";"1";"2";"20";"Y"
"528";"76";"1";"3";"30";"Y"
"529";"76";"1";"4";"40";"Y"
"530";"76";"1";"5";"50";"Y"
"531";"76";"1";"6";"60";"Y"
"533";"77";"1";"1";"10";"Y"
"534";"77";"1";"2";"20";"Y"
"535";"77";"1";"3";"30";"Y"
"536";"77";"1";"4";"40";"Y"
"537";"77";"1";"5";"50";"Y"
"538";"77";"1";"6";"60";"Y"
"540";"78";"1";"1";"10";"Y"
"541";"78";"1";"2";"20";"Y"
"542";"78";"1";"3";"30";"Y"
"543";"78";"1";"4";"40";"Y"
"544";"78";"1";"5";"50";"Y"
"545";"78";"1";"6";"60";"Y"
"547";"79";"1";"1";"10";"Y"
"548";"79";"1";"2";"20";"Y"
"549";"79";"1";"3";"30";"Y"
"550";"79";"1";"4";"40";"Y"
"551";"79";"1";"5";"50";"Y"
"552";"79";"1";"6";"60";"Y"
"554";"80";"1";"1";"10";"Y"
"555";"80";"1";"2";"20";"Y"
"556";"80";"1";"3";"30";"Y"
"557";"80";"1";"4";"40";"Y"
"558";"80";"1";"5";"50";"Y"
"559";"80";"1";"6";"60";"Y"
"561";"81";"1";"1";"10";"Y"
"562";"81";"1";"2";"20";"Y"
"563";"81";"1";"3";"30";"Y"
"564";"81";"1";"4";"40";"Y"
"565";"81";"1";"5";"50";"Y"
"566";"81";"1";"6";"60";"Y"
"568";"82";"1";"1";"10";"Y"
"569";"82";"1";"2";"20";"Y"
"570";"82";"1";"3";"30";"Y"
"571";"82";"1";"4";"40";"Y"
"572";"82";"1";"5";"50";"Y"
"573";"82";"1";"6";"60";"Y"
"575";"83";"1";"1";"10";"Y"
"576";"83";"1";"2";"20";"Y"
"577";"83";"1";"3";"30";"Y"
"578";"83";"1";"4";"40";"Y"
"579";"83";"1";"5";"50";"Y"
"580";"83";"1";"6";"60";"Y"
"582";"84";"1";"1";"10";"Y"
"583";"84";"1";"2";"20";"Y"
